video           q    psnr	    speed	disp	 comment
source.avi      40   36.810-0	2.806	0.0	 log 16
source.avi      40   36.773-8	3.601	0.0	 log 16
source.avi      40   36.773-8	4.221	0.0	 log 16 aver
source.avi      40   36.773-8	2.736	0.0	 log 16 aver
source.avi      40   36.417-8	2.572	0.0	 log 16 aver
source.avi      40   37.111-0	4.313	0.0	 log 16 aver
source.avi      40   36.495-1	2.732	0.0	 log 16 aver
source.avi      40   36.417-8	2.605	0.0	 log 16 aver
source.avi      40   36.416-6	2.720	0.0	 log 16 aver
source.avi      40   36.608-4	4.536	0.0	 log 16 aver
source.avi      40   29.396-2	1.845	0.0	 log 8 aver
source.avi      40   30.510-1	1.803	0.0	 log 8 aver
source.avi      40   30.637-9	1.850	0.0	 log 8 aver
source.avi      40   31.114-7	0.422	0.0	 log 8 aver
source.avi      40   31.115-4	0.489	0.0	 log 8 aver
source.avi      40   34.458-3	2.927	0.0	 log 8 aver
source.avi      40   34.862-4	2.562	0.0	 log 8 aver
source.avi      40   34.458-3	1.308	0.0	 log 8 aver
source.avi      40   34.715-0	2.285	0.0	 log 8 aver
source.avi      40   25.479-4	2.529	0.0	 log 8, brute 4-1
source.avi      40   35.226-7	4.120	0.0	 log 8, brute 4-1
source.avi      40   35.023-8	2.929	0.0	 log 8, brute 4-1
source.avi      40   34.648-6	8.057	0.0	 log 8-8, log 8-2
source.avi      40   35.239-6	2.626	0.0	 log 8-8, log 8-2
source.avi      40   34.762-2	2.016	0.0	 brute 8-4, log 8-2
source.avi      40   34.345-4	3.120	0.0	 brute 8-4, log 8-2
source.avi      40   35.600-2	5.172	0.0	 brute 8-4, log 8-2
source.avi      40   36.239-1	13.57	0.0	 brute 8-4, log 8-2
source.avi      40   35.858-7	5.552	0.0	 brute 10-1, 20, 22
source.avi      40   36.090-3	13.23	0.0	 brute 16-1, 20, 22
source.avi      40   36.133-2	19.35	0.0	 brute 16-1, 20, 22
source.avi      40   36.420-8	30.91	0.0	 brute 16-1, 20, 22
source.avi      4    34.880-3	1.905	0.0	 brute various, 20, 22
source.avi      6    35.500-3	3.467	0.0	 brute various, 20, 22
source.avi      8    35.880-9	5.638	0.0	 brute various, 20, 22
source.avi      10   36.102-5	8.017	0.0	 brute various, 20, 22
source.avi      12   36.236-5	10.81	0.0	 brute various, 20, 22
source.avi      14   36.319-6	14.16	0.0	 brute various, 20, 22
source.avi      16   36.367-2	18.15	0.0	 brute various, 20, 22
source.avi      18   36.398-7	22.54	0.0	 brute various, 20, 22
source.avi      20   36.420-8	27.66	0.0	 brute various, 20, 22
source.avi      22   36.442-9	33.71	0.0	 brute various, 20, 22
source.avi      24   36.465-6	38.69	0.0	 brute various, 20, 22
source.avi      26   36.487-8	48.68	0.0	 brute various, 20, 22
source.avi      0    32.755-1	1.585	0.0	 brute 12-4, 20, 22
source.avi      0    34.846-7	2.507	0.0	 brute 12-4, log 4
source.avi      0    34.821-2	2.405	0.0	 brute 12-4, log 6
source.avi      0    35.577-7	4.263	0.0	 brute 12-2, log 2
source.avi      0    35.984-5	28.43	0.0	 brute 16-4 -> log 4
source.avi      0    36.073-3	16.50	0.0	 brute 16-4 -> log 4
source.avi      0    33.299-7	10.00	0.0	 brute 16-4 -> log 4, th = 60
source.avi      0    34.690-5	11.04	0.0	 brute 16-8 -> log 6, th = 60
source.avi      0    35.158-6	76.85	0.0	 brute 12-4 -> brute 2-2 -> log 1
source.avi      0    35.874-3	11.65	0.0	 brute 12-4 -> brute 2-2 -> log 1
source.avi      0    36.044-3	6.455	0.0	 brute 12-4 -> brute 2-2 -> log 1
source.avi      0    35.550-2	5.553	0.0	 brute 12-4 -> brute 2-2 -> log 1
source.avi      0    35.773-6	4.227	0.0	 brute 12-4 -> brute 2-2 -> log 1
source.avi      0    35.731-9	3.486	0.0	 brute 12-4 -> brute 2-4 -> log 2
source.avi      0    35.996-4	5.476	0.0	 brute 12-4 -> brute 3-3 -> log 2
source.avi      0    35.620-4	2.694	0.0	 brute 12-4 -> brute 3-6 -> log 2
source.avi      0    35.927-9	3.237	0.0	 brute 15-5 -> brute 3-6 -> log 2
source.avi      0    35.433-0	2.939	0.0	 brute 15-5 -> brute 3-6 -> log 2 (not 4)
source.avi      0    35.433-0	2.992	0.0	 brute 15-5 -> brute 3-6 -> log 2 (not 4)
source.avi      0    35.620-4	3.021	0.0	 brute 15-5 -> brute 3-6 -> log 2 (not 4)
source.avi      0    35.620-4	2.505	0.0	 brute 15-5 -> brute 3-6 -> log 2 (not 4)
source.avi      0    35.620-4	2.306	0.0	 brute 15-5 -> brute 3-6 -> log 2 (not 4)
source.avi      0    35.620-4	2.788	0.0	 brute 15-5 -> brute 3-6 -> log 2 (not 4)
source.avi      0    35.620-4	4.142	0.0	 brute 15-5 -> brute 3-6 -> log 2 (not 4)
source.avi      0    30.153-8	0.294	0.0	 quality
source.avi      5    29.868-8	0.278	0.0	 quality
source.avi      10   29.620-7	0.278	0.0	 quality
source.avi      15   29.475-3	0.272	0.0	 quality
source.avi      20   29.307-2	0.272	0.0	 quality
source.avi      25   29.185-4	0.274	0.0	 quality
source.avi      30   29.071-1	0.274	0.0	 quality
source.avi      35   28.957-7	0.276	0.0	 quality
source.avi      40   28.890-8	0.264	0.0	 quality
source.avi      45   28.833-7	0.271	0.0	 quality
source.avi      50   28.774-6	0.273	0.0	 quality
source.avi      55   28.702-3	0.269	0.0	 quality
source.avi      60   28.643-8	0.270	0.0	 quality
source.avi      65   28.569-1	0.276	0.0	 quality
source.avi      70   28.533-8	0.307	0.0	 quality
source.avi      75   28.486-3	0.279	0.0	 quality
source.avi      80   28.445-4	0.282	0.0	 quality
source.avi      0    30.153-8	0.292	0.003	 quality
source.avi      5    29.868-8	0.273	0.002	 quality
source.avi      10   29.620-7	0.273	0.002	 quality
source.avi      15   29.475-3	0.268	0.002	 quality
source.avi      20   29.307-2	0.270	0.002	 quality
source.avi      25   29.185-4	0.270	0.005	 quality
source.avi      30   29.071-1	0.272	0.001	 quality
source.avi      35   28.957-7	0.268	0.001	 quality
source.avi      40   28.890-8	0.263	0.004	 quality
source.avi      45   28.833-7	0.270	0.000	 quality
source.avi      50   28.774-6	0.266	0.001	 quality
source.avi      55   28.702-3	0.267	0.001	 quality
source.avi      60   28.643-8	0.264	0.003	 quality
source.avi      65   28.569-1	0.265	0.001	 quality
source.avi      70   28.533-8	0.272	0.000	 quality
source.avi      75   28.486-3	0.268	0.015	 quality
source.avi      80   28.445-4	0.262	0.003	 quality
source.avi      0    37.342-2	2.671	0.059	 quality
source.avi      0    37.581-9	2.496	0.160	 quality
source.avi      10   37.530-7	2.685	0.019	 quality
source.avi      20   37.379-7	2.618	0.007	 quality
source.avi      30   37.182-3	2.552	0.012	 quality
source.avi      40   36.980-4	2.571	0.020	 quality
source.avi      50   36.784-8	2.516	0.019	 quality
source.avi      60   36.592-7	2.459	0.031	 quality
source.avi      70   36.408-0	2.493	0.004	 quality
source.avi      80   36.235-3	2.464	0.024	 quality
source.avi      90   36.072-5	2.439	0.019	 quality
source.avi      0    36.632-3	4.279	0.046	 quality
source.avi      20   37.379-7	2.616	0.006	 quality
source.avi      50   36.478-5	2.247	0.024	 quality
source.avi      100  35.455-7	2.024	0.045	 quality
source.avi      120  35.160-3	1.965	0.051	 quality
source.avi      150  34.793-6	1.925	0.013	 quality
source.avi      0    36.632-3	3.801	0.209	 quality
source.avi      0    34.711-4	1.840	0.018	 quality
source.avi      20   35.264-7	1.889	0.016	 quality
source.avi      40   35.731-0	2.028	0.045	 quality
source.avi      60   36.178-2	2.359	0.026	 quality
source.avi      80   36.659-8	3.022	0.090	 quality
source.avi      100  36.708-5	11.51	0.081	 quality
source.avi      0    34.458-9	2.087	0.026	 quality
source.avi      20   35.012-6	2.155	0.027	 quality
source.avi      40   35.742-8	2.252	0.014	 quality
source.avi      60   36.452-9	2.443	0.025	 quality
source.avi      80   37.447-0	2.799	0.007	 quality
source.avi      100  37.974-3	3.999	0.070	 quality
source.avi      80   37.377-3	2.806	0.058	 quality
source.avi      80   37.342-2	2.719	0.017	 quality
source.avi      80   37.342-2	2.726	0.047	 quality
source.avi      80   37.342-2	2.720	0.050	 quality
source.avi      80   37.342-2	2.679	0.038	 quality
source.avi      80   37.342-2	2.715	0.404	 quality
source.avi      80   37.342-2	2.689	0.016	 quality
source.avi      80   37.342-2	2.677	0.030	 quality
source.avi      80   32.888-7	7.691	0.046	 quality
source.avi      80   37.342-2	2.901	0.016	 quality
source.avi      80   32.888-7	7.562	0.078	 quality
